block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.0
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.0
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,0.1
29,2026-03-13 07:00:00,0.0,SUNSET_CLAMP,0.567,0.567,0.63
30,2026-03-13 07:15:00,1.04,CONDITION_3,1.04,1.04,1.36
31,2026-03-13 07:30:00,1.675,CONDITION_3,1.675,1.675,2.19
32,2026-03-13 07:45:00,2.529,CONDITION_3,2.456,2.456,3.21
33,2026-03-13 08:00:00,3.957,CONDITION_3,3.924,3.924,4.36
34,2026-03-13 08:15:00,5.056,CONDITION_3,5.013,5.013,5.57
35,2026-03-13 08:30:00,6.109,CONDITION_3,6.057,6.057,6.73
36,2026-03-13 08:45:00,7.143,CONDITION_3,7.083,7.083,7.87
37,2026-03-13 09:00:00,8.193,CONDITION_3,8.073,8.073,8.97
38,2026-03-13 09:15:00,9.107,CONDITION_3,8.973,8.973,9.97
39,2026-03-13 09:30:00,9.956,CONDITION_3,9.81,9.81,10.9
40,2026-03-13 09:45:00,10.769,CONDITION_3,10.602,10.602,11.78
41,2026-03-13 10:00:00,11.483,CONDITION_3,11.295,11.295,12.55
42,2026-03-13 10:15:00,12.069,CONDITION_3,11.871,11.871,13.19
43,2026-03-13 10:30:00,12.672,CONDITION_3,12.402,12.402,13.78
44,2026-03-13 10:45:00,13.123,CONDITION_3,12.843,12.843,14.27
45,2026-03-13 11:00:00,13.509,CONDITION_3,13.221,13.221,14.69
46,2026-03-13 11:15:00,13.85,CONDITION_3,13.554,13.554,15.06
47,2026-03-13 11:30:00,14.125,CONDITION_3,13.824,13.824,15.36
48,2026-03-13 11:45:00,14.364,CONDITION_3,14.058,14.058,15.62
49,2026-03-13 12:00:00,14.548,CONDITION_3,14.238,14.238,15.82
50,2026-03-13 12:15:00,14.545,CONDITION_3,14.337,14.337,15.93
51,2026-03-13 12:30:00,14.487,CONDITION_3,14.382,14.382,15.98
52,2026-03-13 12:45:00,14.505,CONDITION_3,14.4,14.4,16.0
53,2026-03-13 13:00:00,14.319,CONDITION_3,14.319,14.319,15.91
54,2026-03-13 13:15:00,14.157,CONDITION_3,14.157,14.157,15.73
55,2026-03-13 13:30:00,13.95,CONDITION_3,13.95,13.95,15.5
56,2026-03-13 13:45:00,13.559,CONDITION_3,13.644,13.644,15.16
57,2026-03-13 14:00:00,13.128,CONDITION_3,13.293,13.293,14.77
58,2026-03-13 14:15:00,12.639,CONDITION_3,12.879,12.879,14.31
59,2026-03-13 14:30:00,12.179,CONDITION_3,12.411,12.411,13.79
60,2026-03-13 14:45:00,11.676,CONDITION_3,11.898,11.898,13.22
61,2026-03-13 15:00:00,11.164,CONDITION_3,11.376,11.376,12.64
62,2026-03-13 15:15:00,10.537,CONDITION_3,10.737,10.737,11.93
63,2026-03-13 15:30:00,9.892,CONDITION_3,10.035,10.035,11.15
64,2026-03-13 15:45:00,9.173,CONDITION_3,9.306,9.306,10.34
65,2026-03-13 16:00:00,8.348,CONDITION_3,8.469,8.469,9.41
66,2026-03-13 16:15:00,7.452,CONDITION_3,7.56,7.56,8.4
67,2026-03-13 16:30:00,6.494,CONDITION_3,6.588,6.588,7.32
68,2026-03-13 16:45:00,5.555,CONDITION_3,5.598,5.598,6.22
69,2026-03-13 17:00:00,4.549,CONDITION_3,4.59,4.59,5.1
70,2026-03-13 17:15:00,3.55,CONDITION_3,3.582,3.582,3.98
71,2026-03-13 17:30:00,2.595,CONDITION_3,2.619,2.619,2.91
72,2026-03-13 17:45:00,1.699,CONDITION_3,1.71,1.71,1.9
73,2026-03-13 18:00:00,0.749,CONDITION_3,0.773,0.773,1.01
74,2026-03-13 18:15:00,0.178,CONDITION_3,0.184,0.184,0.24
75,2026-03-13 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
83,2026-03-13 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
84,2026-03-13 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
85,2026-03-13 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
86,2026-03-13 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
87,2026-03-13 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
88,2026-03-13 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
89,2026-03-13 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
90,2026-03-13 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
91,2026-03-13 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
92,2026-03-13 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
93,2026-03-13 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
94,2026-03-13 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
95,2026-03-13 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
96,2026-03-13 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
