Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Diff (MW),Abs Diff (MW),Diff % of System
1,00:00,0.000,0.000,0.000,0.000,
2,00:15,0.000,0.000,0.000,0.000,
3,00:30,0.000,0.000,0.000,0.000,
4,00:45,0.000,0.000,0.000,0.000,
5,01:00,0.000,0.000,0.000,0.000,
6,01:15,0.000,0.000,0.000,0.000,
7,01:30,0.000,0.000,0.000,0.000,
8,01:45,0.000,0.000,0.000,0.000,
9,02:00,0.000,0.000,0.000,0.000,
10,02:15,0.000,0.000,0.000,0.000,
11,02:30,0.000,0.000,0.000,0.000,
12,02:45,0.000,0.000,0.000,0.000,
13,03:00,0.000,0.000,0.000,0.000,
14,03:15,0.000,0.000,0.000,0.000,
15,03:30,0.000,0.000,0.000,0.000,
16,03:45,0.000,0.000,0.000,0.000,
17,04:00,0.000,0.000,0.000,0.000,
18,04:15,0.000,0.000,0.000,0.000,
19,04:30,0.000,0.000,0.000,0.000,
20,04:45,0.000,0.000,0.000,0.000,
21,05:00,0.000,0.000,0.000,0.000,
22,05:15,0.000,0.000,0.000,0.000,
23,05:30,0.000,0.000,0.000,0.000,
24,05:45,0.000,0.000,0.000,0.000,
25,06:00,0.000,0.000,0.000,0.000,
26,06:15,0.000,0.000,0.000,0.000,
27,06:30,0.000,0.000,0.000,0.000,
28,06:45,0.000,0.010,0.010,0.010,
29,07:00,0.000,0.170,0.170,0.170,
30,07:15,0.289,0.350,0.061,0.061,21.11
31,07:30,0.451,0.530,0.079,0.079,17.52
32,07:45,0.625,0.710,0.085,0.085,13.60
33,08:00,0.906,0.900,-0.006,0.006,-0.66
34,08:15,1.105,1.110,0.005,0.005,0.45
35,08:30,1.290,1.280,-0.010,0.010,-0.78
36,08:45,1.475,1.460,-0.015,0.015,-1.02
37,09:00,1.666,1.640,-0.026,0.026,-1.56
38,09:15,1.839,1.810,-0.029,0.029,-1.58
39,09:30,2.005,1.970,-0.035,0.035,-1.75
40,09:45,2.157,2.130,-0.027,0.027,-1.25
41,10:00,2.295,2.260,-0.035,0.035,-1.53
42,10:15,2.413,2.360,-0.053,0.053,-2.20
43,10:30,2.522,2.470,-0.052,0.052,-2.06
44,10:45,2.613,2.550,-0.063,0.063,-2.41
45,11:00,2.689,2.630,-0.059,0.059,-2.19
46,11:15,2.758,2.690,-0.068,0.068,-2.47
47,11:30,2.814,2.750,-0.064,0.064,-2.27
48,11:45,2.856,2.790,-0.066,0.066,-2.31
49,12:00,2.884,2.810,-0.074,0.074,-2.57
50,12:15,2.884,2.840,-0.044,0.044,-1.53
51,12:30,2.870,3.110,0.240,0.240,8.36
52,12:45,2.849,3.100,0.251,0.251,8.81
53,13:00,2.836,3.070,0.234,0.234,8.25
54,13:15,2.795,3.000,0.205,0.205,7.33
55,13:30,2.740,2.950,0.210,0.210,7.66
56,13:45,2.671,2.900,0.229,0.229,8.57
57,14:00,2.586,2.830,0.244,0.244,9.44
58,14:15,2.481,2.730,0.249,0.249,10.04
59,14:30,2.394,2.640,0.246,0.246,10.28
60,14:45,2.287,2.530,0.243,0.243,10.63
61,15:00,2.166,2.400,0.234,0.234,10.80
62,15:15,2.046,2.270,0.224,0.224,10.95
63,15:30,1.913,2.110,0.197,0.197,10.30
64,15:45,1.766,1.950,0.184,0.184,10.42
65,16:00,1.604,1.770,0.166,0.166,10.35
66,16:15,1.423,1.570,0.147,0.147,10.33
67,16:30,1.242,1.360,0.118,0.118,9.50
68,16:45,1.069,1.050,-0.019,0.019,-1.78
69,17:00,0.891,0.870,-0.021,0.021,-2.36
70,17:15,0.716,0.700,-0.016,0.016,-2.23
71,17:30,0.540,0.530,-0.010,0.010,-1.85
72,17:45,0.379,0.360,-0.019,0.019,-5.01
73,18:00,0.185,0.210,0.025,0.025,13.51
74,18:15,0.078,0.090,0.012,0.012,15.38
75,18:30,0.000,0.000,0.000,0.000,
76,18:45,0.000,0.000,0.000,0.000,
77,19:00,0.000,0.000,0.000,0.000,
78,19:15,0.000,0.000,0.000,0.000,
79,19:30,0.000,0.000,0.000,0.000,
80,19:45,0.000,0.000,0.000,0.000,
81,20:00,0.000,0.000,0.000,0.000,
82,20:15,0.000,0.000,0.000,0.000,
83,20:30,0.000,0.000,0.000,0.000,
84,20:45,0.000,0.000,0.000,0.000,
85,21:00,0.000,0.000,0.000,0.000,
86,21:15,0.000,0.000,0.000,0.000,
87,21:30,0.000,0.000,0.000,0.000,
88,21:45,0.000,0.000,0.000,0.000,
89,22:00,0.000,0.000,0.000,0.000,
90,22:15,0.000,0.000,0.000,0.000,
91,22:30,0.000,0.000,0.000,0.000,
92,22:45,0.000,0.000,0.000,0.000,
93,23:00,0.000,0.000,0.000,0.000,
94,23:15,0.000,0.000,0.000,0.000,
95,23:30,0.000,0.000,0.000,0.000,
96,23:45,0.000,0.000,0.000,0.000,
